,Customer,RD. IAT,IAT,AT,RD. ST,ST,TSB,WT,TSE,TSS,IOS
0,1,-,-,0,81,4,0,0,4,4,0
1,2,889,8,8,5,1,8,0,9,1,4
2,3,35,1,9,86,5,9,0,14,5,0
3,4,144,2,11,58,3,14,3,17,6,0
4,5,231,2,13,6,1,17,4,18,5,0
5,6,241,2,15,20,2,18,3,20,5,0
6,7,81,1,16,26,2,20,4,22,6,0
7,8,468,4,20,96,6,22,2,28,8,0
